DataFrame,Model,RMSE,R2
HAL_target60,Spoly2_C1_gscale,0.282692,-4.424814
HAL_target60,Spoly2_C1_g001,0.119156,-0.038337
HAL_target60,Spoly2_C10_gscale,0.343442,-7.288219
HAL_target60,Spoly2_C10_g001,0.128613,-0.201592
HAL_target60,Spoly3_C1_gscale,1.021005,-87.618573
HAL_target60,Spoly3_C1_g001,0.12096,-0.062549
HAL_target60,GBRT_d3_lr001,0.124867,-0.188015
HAL_target60,GBRT_d3_lr005,0.133895,-0.435663
HAL_target60,GBRT_d4_lr001,0.126207,-0.231411
HAL_target60,GBRT_d4_lr005,0.134061,-0.443167
HAL_target60,GBRT_d5_lr001,0.127485,-0.276098
HAL_target60,GBRT_d5_lr005,0.13241,-0.427079
HAL_target60,MLP_64_relu_lr0005,0.164521,-1.18298
HAL_target60,MLP_64_relu_lr001,0.164616,-1.159632
HAL_target60,MLP_64_relu_lr005,0.163245,-1.117574
HAL_target60,MLP_64_relu_lr01,0.18013,-1.390322
HAL_target90,Srbf_C1_e01_gscale,0.22332,-0.807502
HAL_target90,Srbf_C1_e01_g001,0.181913,-0.074374
HAL_target90,Srbf_C1_e01_g01,0.19173,-0.260034
HAL_target90,Srbf_C1_e05_gscale,0.217416,-0.701948
HAL_target90,Srbf_C1_e05_g001,0.18059,-0.056566
HAL_target90,Srbf_C1_e05_g01,0.189034,-0.230324
HAL_target90,Srbf_C10_e01_gscale,0.26176,-1.618907
HAL_target90,Srbf_C10_e01_g001,0.179753,-0.078978
HAL_target90,Srbf_C10_e01_g01,0.247362,-1.04251
HAL_target90,Srbf_C10_e05_gscale,0.252482,-1.382653
HAL_target90,Srbf_C10_e05_g001,0.177056,-0.063216
HAL_target90,Srbf_C10_e05_g01,0.24002,-0.905991
HAL_target90,Srbf_C100_e01_gscale,0.285004,-2.128625
HAL_target90,Srbf_C100_e01_g001,0.204934,-0.369156
HAL_target90,Srbf_C100_e01_g01,0.365301,-3.308791
HAL_target90,Srbf_C100_e05_gscale,0.268849,-1.775753
